"Class","Order","Family","Subfamily",Available,Valid,Last Ten Years (2006-2015)
 , ,Pristolepididae,,10,6,2
 , ,Oplegnathidae,,12,7,0
 , ,Cirrhitidae,,65,35,1
 , ,Chironemidae,,9,6,0
 , ,Aplodactylidae,,13,5,0
 , ,Cheilodactylidae,,51,27,0
 , ,Latridae,,22,7,0
 , ,Cepolidae,,45,25,2
 , ,Mugilidae,,303,74,2
 , ,Cichlidae,,2211,1683,206
 , , ,Etroplinae,20,16,3
 , , ,Ptychochrominae,19,15,6
 , , ,Pseudocrenilabrinae,1391,1103,76
 , , ,Cichlinae,778,548,120
 , ,Embiotocidae,,54,23,1
 , ,Pomacentridae,,773,396,25
 , ,Labridae,,1481,529,46
 , ,Odacidae,,33,12,0
 , ,Scaridae,,414,99,3
 , , ,Scarinae,314,74,1
 , , ,Sparisomatinae,94,25,2
 , ,Bathymasteridae,,7,7,0
 , ,Zoarcidae,,409,304,35
 , , ,Gymnelinae,63,44,6
 , , ,Lycodinae,313,241,25
 , , ,Lycozoarcinae,2,1,0
 , , ,Zoarcinae,15,6,1
 , , ,Neozoarcinae,13,12,3
 , ,Stichaeidae,,115,70,4
 , , ,Stichaeinae,21,14,1
 , , ,Opisthocentrinae,21,12,0
 , , ,Lumpeninae,26,11,1
 , , ,Chirolophinae,17,12,0
 , , ,Xiphisterinae,27,19,2
 , , ,Azygopterinae,2,2,0
 , ,Cryptacanthodidae,,9,4,0
 , ,Pholidae,,40,16,0
 , ,Anarhichadidae,,22,5,0
 , ,Ptilichthyidae,,1,1,0
 , ,Zaproridae,,1,1,0
 , ,Scytalinidae,,1,1,0
 , ,Bovichtidae,,18,11,0
 , ,Pseudaphritidae,,4,1,0
 , ,Eleginopsidae,,5,1,0
 , ,Nototheniidae,,96,59,1
 , , ,Pleuragrammatinae,8,6,0
 , , ,Nototheniinae,67,36,0
 , , ,Trematominae,21,17,1
 , ,Harpagiferidae,,12,12,1
 , ,Artedidraconidae,,42,37,12
 , ,Bathydraconidae,,19,17,0
 , , ,Bathydraconinae,15,14,0
 , , ,Gymnodraconinae,4,3,0
 , ,Channichthyidae,,30,26,2
 , ,Chiasmodontidae,,43,32,18
 , ,Champsodontidae,,16,13,0
 , ,Trichodontidae,,6,2,0
 , ,Ammodytidae,,45,33,9
 , ,Trachinidae,,20,9,0
 , ,Uranoscopidae,,77,53,2
 , ,Trichonotidae,,12,10,1
 , ,Creediidae,,22,18,2
 , ,Leptoscopidae,,11,5,0
 , ,Percophidae,,60,51,4
 , , ,Percophinae,1,1,0
 , , ,Bembropinae,30,24,0
 , , ,Hemerocoetinae,29,26,4
 , ,Pinguipedidae,,136,88,31
 , ,Cheimarrichthyidae,,1,1,0
 , ,Pholidichthyidae,,3,2,0
 , ,Tripterygiidae,,219,177,18
 , , ,Notoclininae,3,3,0
 , , ,Tripterygiinae,215,174,18
 , ,Labrisomidae,,184,128,11
 , ,Clinidae,,169,87,3
 , ,Chaenopsidae,,103,90,6
 , ,Dactyloscopidae,,58,48,0
 , ,Blenniidae,,849,405,11
 , , ,Blenniinae,197,96,5
 , , ,Salariinae,617,309,6
 , ,Icosteidae,,3,1,0
 , ,Callionymidae,,288,193,9
 , ,Draconettidae,,18,14,1
 , ,Rhyacichthyidae,,7,3,0
 , ,Odontobutidae,,32,23,1
 , ,Eleotridae,,348,173,17
 , , ,Butinae,87,44,2
 , , ,Eleotrinae,243,124,12
 , , ,Milyeringinae,6,5,3
 , ,Thalasseleotrididae,,3,3,0
 , ,Gobiidae,,2730,1775,301
 , , ,Sicydiinae,160,121,25
 , , ,Gobionellinae,669,417,45
 , , ,Oxudercinae,119,42,2
 , , ,Amblyopinae,69,32,2
 , , ,Gobiinae,1684,1162,227
 , ,Kraemeriidae,,12,8,0
 , ,Microdesmidae,,105,89,11
 , , ,Microdesminae,36,33,1
 , , ,Ptereleotrinae,68,56,10
 , ,Xenisthmidae,,17,14,2
 , ,Schindleriidae,,3,3,0
 , ,Kurtidae,,8,2,0
 , ,Ephippidae,,44,15,0
 , ,Scatophagidae,,17,4,0
 , ,Siganidae,,86,31,1
 , ,Luvaridae,,11,1,0
 , ,Zanclidae,,7,1,0
 , ,Acanthuridae,,256,84,1
 , ,Scombrolabracidae,,1,1,0
 , ,Sphyraenidae,,74,27,2
 , ,Gempylidae,,65,26,1
 , ,Trichiuridae,,84,47,2
 , , ,Aphanopodinae,24,18,0
 , , ,Lepidopodinae,32,12,1
 , , ,Trichiurinae,28,17,1
 , ,Scombridae,,193,53,0
 , , ,Gasterochismatinae,4,1,0
 , , ,Scombrinae,189,52,0
 , ,Xiphiidae,,10,1,0
 , ,Istiophoridae,,63,9,0
 , ,Amarsipidae,,1,1,0
 , ,Centrolophidae,,74,31,1
 , ,Nomeidae,,60,17,0
 , ,Ariommatidae,,16,8,0
 , ,Tetragonuridae,,4,3,0
 , ,Stromateidae,,57,17,1
 , ,Anabantidae,,69,31,0
 , ,Osphronemidae,,180,130,18
 , , ,Macropodusinae,129,105,17
 , , ,Luciocephalinae,35,19,1
 , , ,Osphroneminae,9,4,0
 , , ,Belontiinae,5,2,0
 , ,Helostomatidae,,2,1,0
 , ,Channidae,,100,35,7
 , ,Caproidae,,26,18,3
 ,Pleuronectiformes,,,,,
 , ,Psettodidae,,7,3,0
 , ,Citharidae,,10,6,0
 , ,Scophthalmidae,,39,9,0
 , ,Paralichthyidae,,190,109,1
 , ,Bothidae,,262,169,1
 , ,Achiropsettidae,,9,4,0
 , ,Pleuronectidae,,225,105,4
 , , ,Poecilopsettinae,26,21,3
 , , ,Rhombosoleinae,34,20,0
 , , ,Pleuronectinae,136,63,1
 , , ,Paralichthodinae,1,1,0
 , ,Samaridae,,33,28,4
 , ,Achiridae,,66,36,2
 , ,Soleidae,,281,179,31
 , ,Cynoglossidae,,246,145,8
 , , ,Symphurinae,96,79,6
 , , ,Cynoglossinae,150,66,2
 ,Tetraodontiformes,,,,,
 , ,Triacanthodidae,,30,23,1
 , ,Triacanthidae,,17,7,0
 , ,Balistidae,,187,42,1
 , ,Monacanthidae,,293,110,2
 , ,Aracanidae,,26,13,0
 , ,Ostraciidae,,81,27,0
 , ,Triodontidae,,2,1,0
 , ,Tetraodontidae,,378,194,5
 , ,Diodontidae,,83,18,0
 , ,Molidae,,51,4,0
Coelacanthi,,,,,,
 ,Coelacanthiformes,,,,,
 , ,Latimeriidae,,3,2,0
Dipneusti,,,,,,
 ,Ceratodontiformes,,,,,
 , ,Neoceratodontidae,,3,1,0
 ,Lepidosireniformes,,,,,
 , ,Lepidosirenidae,,4,1,0
 , ,Protopteridae,,9,4,0
Totals,,,,58571,33663,3951
