"Class","Order","Family","Subfamily",Available,Valid,Last Ten Years (2006-2015)
 , , ,Squaliobarbinae,0,0,0
 , , ,Tincinae,13,1,0
 , , ,Xenocypridinae,320,154,13
 , , ,Gobioninae,340,204,13
 , , ,Leuciscinae,1340,570,45
 , , ,Danioninae,511,330,64
 , , ,ex-danioninae,0,0,0
 , , ,No subfamily,167,14,0
 , , ,Alburninae,141,73,24
 , , ,Leptobarbinae,5,5,0
 , , ,Oxygastrinae,1,1,0
 , ,Psilorhynchidae,,29,26,19
 , ,Cobitidae,,399,249,54
 , , ,Botiinae,94,56,4
 , , ,Cobitinae,305,193,50
 , ,Balitoridae,,295,231,45
 , ,Nemacheilidae,,803,651,160
 , ,Serpenticobitidae,,3,3,0
 , ,Vaillantellidae,,4,3,0
 , ,Ellopostomatidae,,2,2,0
 , ,Barbuccidae,,2,2,1
 , ,Gyrinocheilidae,,5,3,0
 , ,Catostomidae,,202,83,1
 ,Characiformes,,,,,
 , ,Citharinidae,,13,8,0
 , ,Distichodontidae,,137,101,8
 , ,Alestidae,,182,115,6
 , ,Hepsetidae,,8,5,3
 , ,Hemiodontidae,,45,31,2
 , ,Parodontidae,,45,32,5
 , ,Curimatidae,,169,105,7
 , ,Prochilodontidae,,50,21,0
 , ,Anostomidae,,188,147,19
 , ,Chilodontidae,,10,8,1
 , ,Erythrinidae,,33,16,2
 , ,Lebiasinidae,,92,75,13
 , , ,Lebiasininae,29,29,9
 , , ,Pyrrhulininae,63,46,4
 , ,Gasteropelecidae,,21,9,0
 , ,Ctenoluciidae,,13,7,0
 , ,Acestrorhynchidae,,33,26,0
 , , ,Acestrorhynchinae,21,14,0
 , , ,Roestinae,6,6,0
 , , ,Heterocharacinae,6,6,0
 , ,Cynodontidae,,10,8,0
 , , ,Cynodontinae,10,8,0
 , ,Serrasalmidae,,161,88,6
 , ,Characidae,,1341,1097,224
 , , ,Stethaprioninae,26,19,2
 , , ,Aphyocharacinae,42,25,2
 , , ,Characinae,118,89,21
 , , ,Tetragonopterinae,18,12,7
 , , ,Rhoadsiinae,8,7,1
 , , ,Cheirodontinae,80,65,12
 , , ,Jupiaba clade,29,27,5
 , , ,Pristellinae,340,307,72
 , , ,Astyanax clade,202,154,35
 , , ,Acestrorhamphinae,31,25,4
 , , ,Nematobrycon clade,0,0,0
 , , ,Gymnocharacinae,10,7,0
 , , ,Aphyoditeinae,19,18,0
 , , ,Stevardiinae,361,318,59
 , , ,Pseudochalceinae,8,6,1
 , ,Bryconidae,,86,49,2
 , , ,Bryconinae,75,45,1
 , , ,Salmininae,11,4,1
 , ,Triportheidae,,34,21,0
 , , ,Triportheinae,28,16,0
 , , ,Agoniatinae,3,2,0
 , , ,Clupeacharacinae,1,1,0
 , ,Iguanodectidae,,33,30,1
 , , ,Iguanodectinae,13,11,0
 , , ,Bryconops clade,20,19,1
 , ,Chalceidae,,9,5,0
 , ,Crenuchidae,,99,90,13
 , , ,Crenuchinae,3,3,0
 , , ,Characidiinae,96,87,13
 ,Siluriformes,,,,,
 , ,Diplomystidae,,12,6,0
 , ,Lacantuniidae,,1,1,0
 , ,Ictaluridae,,137,51,1
 , ,Horabagridae,,15,9,2
 , ,Bagridae,,324,207,30
 , ,Cranoglanididae,,7,3,0
 , ,Austroglanididae,,3,3,0
 , ,Siluridae,,173,99,9
 , ,Kryptoglanidae,,1,1,1
 , ,Schilbeidae,,117,61,3
 , ,Pangasiidae,,52,28,0
 , ,Amblycipitidae,,42,37,9
 , ,Amphiliidae,,118,99,29
 , , ,Amphiliinae,51,38,11
 , , ,Leptoglaninae,28,28,9
 , , ,Doumeinae,39,33,9
 , ,Akysidae,,66,57,9
 , ,Sisoridae,,258,218,70
 , , ,Sisorinae,42,30,6
 , , ,Glyptosterninae,216,188,64
 , ,Erethistidae,,50,44,23
 , ,Clariidae,,223,120,11
 , ,Heteropneustidae,,9,4,1
 , ,Claroteidae,,131,92,5
 , , ,Claroteinae,5,4,0
 , , ,Auchenoglanidinae,0,0,0
 , ,Chacidae,,7,4,1
 , ,Olyridae,,8,5,2
 , ,Malapteruridae,,27,19,0
 , ,Ariidae,,343,145,9
 , , ,Galeichthyinae,8,4,1
 , , ,Ariinae,319,137,8
 , , ,Bagreinae,16,4,0
 , ,Anchariidae,,6,6,1
 , ,Plotosidae,,82,41,5
 , ,Mochokidae,,266,209,17
 , , ,Chiloglanidinae,67,62,5
 , , ,Mochokinae,199,147,12
 , ,Doradidae,,150,93,15
 , , ,Wertheimerinae,3,3,0
 , , ,Astrodoradinae,16,12,1
 , , ,Doradinae,94,62,10
 , ,Auchenipteridae,,173,118,21
 , , ,Centromochlinae,46,45,13
 , , ,Auchenipterinae,123,73,8
 , ,Pimelodidae,,194,109,19
 , ,Pseudopimelodidae,,46,40,11
 , ,Heptapteridae,,297,208,15
 , ,Cetopsidae,,50,42,1
 , , ,Cetopsinae,44,38,1
 , , ,Helogeninae,6,4,0
 , ,Aspredinidae,,69,42,5
 , ,Nematogenyidae,,3,1,0
 , ,Trichomycteridae,,324,284,71
 , , ,Sarcoglanidinae,11,11,3
 , , ,Trichomycterinae,229,204,60
 , , ,Copionodontinae,5,5,1
 , , ,Trichogeninae,2,2,1
 , , ,Vandelliinae,20,9,0
 , , ,Stegophilinae,31,28,1
 , , ,Tridentinae,7,7,0
 , , ,Glanapteryginae,18,18,5
 , ,Callichthyidae,,277,205,12
 , , ,Callichthyinae,50,17,1
 , , ,Corydoradinae,227,188,11
 , ,Loricariidae,,1052,915,209
 , , ,Lithogeninae,3,3,1
 , , ,Neoplecostominae,57,54,19
 , , ,Hypoptopomatinae,159,147,60
 , , ,Loricariinae,286,239,39
 , , ,Hypostominae,240,202,34
 , , ,Ancistrinae,298,262,54
 , , ,Delturinae,8,7,1
 , ,Scoloplacidae,,6,6,2
 , ,Astroblepidae,,73,71,16
 ,Gymnotiformes,,,,,
 , ,Sternopygidae,,53,42,16
 , ,Apteronotidae,,100,94,45
 , ,Rhamphichthyidae,,22,16,2
 , ,Hypopomidae,,35,31,15
 , ,Gymnotidae,,47,40,7
 ,Esociformes,,,,,
 , ,Esocidae,,39,7,3
 , ,Umbridae,,17,7,0
 ,Osmeriformes,,,,,
 , ,Argentinidae,,37,28,2
 , ,Microstomatidae,,29,22,2
 , ,Bathylagidae,,36,24,2
 , ,Opisthoproctidae,,20,19,6
